Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Roger-Marti,es ESP,Levante,30-316,FW,1991,576.0,8.0,7.0,2.0,0.31,0.0,0.0,0.31,25.0,8.0,74.0,64.9,0.0,0.0,0.0,18.7,107.0,6.0,4.0,57.14285714285714
Martin,es ESP,Cádiz,22-259,"MF,DF",1999,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,76.0,2.0,0.0,0.0,16.7,12.0,1.0,1.0,50.0
Andres-Martin,es ESP,Rayo Vallecano,22-127,"FW,MF",1999,114.0,3.0,1.0,0.0,0.0,0.0,0.0,0.79,50.0,2.0,9.0,69.2,2.0,0.0,0.0,36.0,25.0,1.0,0.0,0.0
Ivan-Martin,es ESP,Alavés,22-274,"MF,FW",1999,76.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,77.1,1.0,0.0,0.0,15.4,13.0,1.0,0.0,0.0
Inigo-Martinez,es ESP,Athletic Club,30-182,DF,1991,893.0,10.0,10.0,2.0,0.2,1.0,0.1,0.6,50.0,12.0,361.0,80.6,24.0,3.0,0.0,32.1,78.0,12.0,6.0,46.15384615384615
Javi-Martinez,es ESP,Osasuna,21-328,"MF,FW",1999,318.0,9.0,3.0,1.0,0.28,1.0,0.28,0.28,25.0,4.0,93.0,66.9,7.0,0.0,0.0,29.6,71.0,9.0,6.0,60.0
Pablo-Martinez,es ESP,Levante,23-266,MF,1998,624.0,12.0,7.0,0.0,0.0,1.0,0.14,0.0,0.0,10.0,166.0,69.2,14.0,2.0,0.0,22.0,141.0,13.0,8.0,57.14285714285714
Omar-Mascarell,es ESP,Elche,28-286,MF,1993,760.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,341.0,89.7,12.0,6.0,0.0,23.7,169.0,13.0,5.0,35.714285714285715
Jaime-Mata,es ESP,Getafe,33-022,FW,1988,415.0,11.0,3.0,0.0,0.0,0.0,0.0,0.22,25.0,4.0,70.0,65.4,4.0,2.0,0.0,24.7,77.0,8.0,4.0,44.44444444444444
Luis-Maximiano,pt POR,Granada,22-314,GK,1999,796.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi-Mboula,es ESP,Mallorca,22-244,FW,1999,310.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,54.7,1.0,2.0,0.0,33.9,62.0,5.0,3.0,50.0
Oscar-Melendo,es ESP,Espanyol,24-084,MF,1997,395.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,145.0,89.5,2.0,0.0,0.0,34.8,46.0,3.0,1.0,25.0
Gonzalo-Melero,es ESP,Levante,27-317,MF,1994,652.0,9.0,8.0,1.0,0.14,4.0,0.55,0.41,42.9,7.0,244.0,85.3,6.0,5.0,0.0,28.8,104.0,13.0,8.0,57.14285714285714
Brais-Mendez,es ESP,Celta Vigo,24-312,MF,1997,921.0,12.0,11.0,1.0,0.1,3.0,0.29,0.49,26.3,19.0,375.0,77.2,13.0,2.0,0.0,31.1,225.0,22.0,13.0,56.52173913043478
Edgar-Mendez,es ESP,Alavés,31-317,"FW,MF",1990,310.0,8.0,3.0,0.0,0.0,0.0,0.0,0.58,40.0,5.0,49.0,70.0,1.0,0.0,0.0,26.4,72.0,8.0,3.0,33.33333333333333
Ferland-Mendy,fr FRA,Real Madrid,26-160,DF,1995,273.0,4.0,3.0,0.0,0.0,0.0,0.0,0.33,100.0,1.0,220.0,90.2,8.0,1.0,0.0,33.3,15.0,1.0,1.0,50.0
Fran-Merida,es ESP,Espanyol,31-256,MF,1990,140.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,66.7,2.0,0.0,0.0,8.0,25.0,3.0,0.0,0.0
Mikel-Merino,es ESP,Real Sociedad,25-146,MF,1996,1159.0,13.0,13.0,2.0,0.16,6.0,0.47,0.7,47.4,19.0,576.0,80.4,20.0,5.0,0.0,34.3,216.0,34.0,25.0,71.42857142857143
Martin-Merquelanz,es ESP,Rayo Vallecano,26-156,FW,1995,173.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,71.0,0.0,0.0,0.0,16.7,30.0,3.0,2.0,50.0
Matt-Miazga,us USA,Alavés,26-119,DF,1995,545.0,7.0,6.0,0.0,0.0,0.0,0.0,0.5,42.9,7.0,180.0,84.1,5.0,7.0,0.0,39.6,48.0,8.0,5.0,55.55555555555556
Miguel,es ESP,Alavés,22-073,"FW,MF",1999,221.0,6.0,3.0,0.0,0.0,2.0,0.81,0.41,25.0,4.0,35.0,68.6,0.0,1.0,0.0,30.0,60.0,3.0,2.0,50.0
Eder-Militao,br BRA,Real Madrid,23-301,DF,1998,1080.0,12.0,12.0,0.0,0.0,1.0,0.08,0.25,27.3,11.0,637.0,91.3,28.0,5.0,0.0,27.7,94.0,22.0,12.0,52.17391304347826
Luis-Milla,es ESP,Granada,27-039,MF,1994,777.0,10.0,9.0,1.0,0.12,2.0,0.23,0.12,25.0,4.0,290.0,80.8,14.0,3.0,0.0,35.2,142.0,11.0,8.0,66.66666666666666
Pere-Milla,es ESP,Elche,29-053,"FW,MF",1992,288.0,10.0,2.0,1.0,0.31,0.0,0.0,1.56,83.3,6.0,64.0,71.9,6.0,0.0,0.0,15.6,64.0,2.0,1.0,33.33333333333333
Santi-Mina,es ESP,Celta Vigo,25-343,FW,1995,973.0,12.0,12.0,4.0,0.37,3.0,0.28,0.83,36.0,25.0,161.0,71.2,6.0,1.0,0.0,25.3,182.0,10.0,6.0,54.54545454545454
Oscar-Mingueza,es ESP,Barcelona,22-186,DF,1999,534.0,9.0,6.0,0.0,0.0,0.0,0.0,0.17,50.0,2.0,330.0,83.3,7.0,1.0,0.0,35.5,76.0,15.0,7.0,43.75
Rafa-Mir,es ESP,Sevilla,24-150,FW,1997,646.0,11.0,7.0,4.0,0.56,1.0,0.14,1.25,37.5,24.0,85.0,67.5,2.0,3.0,0.0,32.1,81.0,2.0,2.0,66.66666666666666
Jorge-Miramon,es ESP,Levante,32-166,DF,1989,769.0,11.0,8.0,0.0,0.0,1.0,0.12,0.0,0.0,1.0,302.0,76.6,24.0,1.0,0.0,35.7,98.0,14.0,10.0,66.66666666666666
